"STATE","OBAMA","OBAMA %","MCCAIN","MCCAIN %"
"Alabama*","813479",".39","1266546",".6"
"Alaska*","123594",".38","193841",".59"
"Arizona*","1034707",".45","1230111",".54"
"Arkansas","422310",".39","638017",".59"
"California","8274473",".61","5011781",".37"
"Colorado","1288576",".54","1073589",".45"
"Connecticut","997772",".61","629428",".38"
"Delaware","255459",".62","152374",".37"
"D.C.","245800",".92","17367",".07"
"Florida*","4282074",".51","4045624",".48"
"Georgia*","1844137",".47","2048744",".52"
"Hawaii","325871",".72","120566",".27"
"Idaho*","236440",".36","403012",".62"
"Illinois","3419673",".62","2031527",".37"
"Indiana*","1374039",".5","1345648",".49"
"Iowa*","828940",".54","682379",".44"
"Kansas*","514765",".42","699655",".57"
"Kentucky","751985",".41","1048462",".57"
"Louisiana","782989",".4","1148275",".59"
"Maine*","421923",".58","295273",".4"
"Maryland*","1629467",".62","959862",".36"
"Massachusetts","1904097",".62","1108854",".36"
"Michigan*","2872579",".57","2048639",".41"
"Minnesota*","1573354",".54","1275409",".44"
"Mississippi*","554662",".43","724597",".56"
"Missouri","1441911",".49","1445814",".49"
"Montana*","231667",".47","242763",".5"
"Nebraska*","333319",".42","452979",".57"
"Nevada","533736",".55","412827",".43"
"New Hampshire","384826",".54","316534",".45"
"New Jersey*","2215422",".57","1613207",".42"
"New Mexico*","472422",".57","346832",".42"
"New York","4769700",".63","2742298",".36"
"North Carolina","2142651",".5","2128474",".49"
"North Dakota","141278",".45","168601",".53"
"Ohio","2933388",".512","2674491",".47"
"Oklahoma*","502496",".34","960165",".66"
"Oregon","1037291",".57","738475",".4"
"Pennsylvania","3276363",".54","2655885",".44"
"Rhode Island","296571",".63","165391",".35"
"South Carolina","862449",".45","1034896",".54"
"South Dakota","170924",".45","203054",".53"
"Tennessee","1087437",".42","1479178",".57"
"Texas","3528633",".44","4479328",".55"
"Utah","327670",".34","596030",".63"
"Vermont","219262",".67","98974",".3"
"Virginia","1959532",".53","1725005",".46"
"Washington","1750848",".58","1229216",".4"
"West Virginia","303857",".43","397466",".56"
"Wisconsin","1677211",".56","1262393",".42"
"Wyoming","82868",".33","164958",".65"
"Total","69456897",".53","59934814",".46"
"State results source: http://www.fec.gov/general/library.shtml","","","",""
"County results source: http://www.usatoday.com/news/politics/election2008/president.htm","","","",""
